InspectionID,DefectCategory,SeverityWeight,TranslatedText,VaderCompound
472,Fulfillment Error,3.71,On May 19th I wore and the handle broke without much weight,-0.4215
489,Fulfillment Error,3.5,I bought the product in black and it came in red.,0.0
497,Quality Issue,2.41,I thought the backpack was a tougher material.,0.1779
500,Fulfillment Error,3.33,"I bought one product and came another. I sent msg informing the error, but I did not get an answer. Thank you",0.34
502,Logistics Issue,3.0,the product takes a long time to arrive!,0.0
506,Logistics Issue,3.0,We only received a watch by mail at,0.0
514,Fulfillment Error,3.21,"Good quality product, exactly as advertised, and the low price is an extra attraction.",0.5859
515,Fulfillment Error,3.5,"Only one unit was delivered, instead of two.",0.0
523,Fulfillment Error,3.59,"Yes, I received more defectively the laces are two the same and do not close",-0.1761
526,Logistics Issue,3.0,I haven't gotten it yet.,0.0
531,Logistics Issue,3.14,"So far I haven't received it.I bought this device for this health,I don't recommend this store.",-0.2755
539,Logistics Issue,2.68,"Would you like to know when my product will arrive? Since the scheduled date for delivery has passed, I would like an answer I am waiting!",0.6476
543,Fulfillment Error,3.77,The delivered product differs from the order it is a lower product! I would like the problem to be solved! I am not satisfied with the procedure!,-0.5435
545,Fulfillment Error,3.72,"I bought the product, I paid on the ticket and only got half of the product, they announced one thing and sent another. Very dissatisfied.",-0.4391
552,Logistics Issue,2.81,I bought the product day in early March and didn't get within the deadline by opening up a protocol to resolve my situation,0.3818
553,Critical Failure,5.0,I did not receive the product as well as no contact from the .seller,-0.0258
556,Not a Defect,0.0,I can't even miss it.,0.1139
558,Logistics Issue,3.0,Waiting for the installer,0.0
559,Logistics Issue,3.0,I bought a product to be delivered by this store and I haven't received it yet because that's how the delivery date has passed.,0.0
562,Not a Defect,0.0,came according to the request plus the post-sale did not answer any of my questions,0.0
565,Fulfillment Error,3.5,"I bought two backpacks, got only one, Christmas is coming and so far nothing!",0.0
568,Logistics Issue,2.69,"The price was great, the delivery time is long (more than 1 month to deliver). I bought 2 cartridges and delivered only 1, I claimed and sent the other within the delivery time.",0.6249
578,Logistics Issue,2.78,"I bought a Christmas gift watch for my son and until now he hasn't arrived. I sent messages and in the last conversation the watch would arrive yesterday, yet I didn't get anything.",0.4404
598,Logistics Issue,3.0,"So far I haven't received anything, the quilt was planned for the day before yesterday (18/12) and so far nothing",0.0
600,Fulfillment Error,3.88,"The brushes have been kneaded, not according to a few photos, but according to the description. They are weak, do not fit in the case and a cooled wine",-0.759
607,Fulfillment Error,3.5,"The product came different from the q shown in the photo, it is not luxurious, nor padded as it said.",0.0
621,Fulfillment Error,3.5,I bought 02 only sent 01,0.0
623,Fulfillment Error,3.86,"It seems that they keep food well without drowsing (pamble potato) but the lid is strange, it doesn't seem to close. and the stainless steel of the lid is ugly.",-0.7269
625,Logistics Issue,3.0,"I'm waiting for an answer until today, about my products, they've already been paid and yet I haven't received them, they were 03 the same and I need to talk to people and NOT machine or recordings.",0.0
643,Logistics Issue,3.0,I have not yet received the product,0.0
644,Fulfillment Error,3.53,"I would like to receive the correct products, I tried to make the exchange for the return of money on the card, but the Lannister website does not allow it to be made.",-0.0642
647,Not a Defect,0.0,"my product came with defect, I returned as informed. posted in the mail as indicated. and until today I have received no notification from the company regarding the return and analysis to have lost",-0.7096
649,Logistics Issue,3.15,We only received 1 cartridge already opened complaint on the site and I haven't got an answer yet.,-0.296
652,Major Product Issue,4.12,The table top came all kneaded and beaten.,-0.25
653,Logistics Issue,3.0,"However, within the deadline they could speed up as in my other product that was delivered in 2 days.",0.0
665,Logistics Issue,3.0,So far I do not receive the product,0.0
673,Not a Defect,0.0,Very good product and price charged!,0.3989
684,Quality Issue,2.67,"The device has arrived with a defect, it is not presenting all functions in the digital viewfinder.",-0.34
686,Fulfillment Error,3.5,incorrect product The product is not in the correct measures indicated in the offer. I will have q call to vcs for exchange,0.0
687,Not a Defect,0.0,In anticipation of an urgent return.,0.296
689,Logistics Issue,3.26,"More product that has passed the deadline to deliver, I try to solve the problem with the company and I can't talk to anyone. All they do is pass me over to complain in a system that doesn't work.",-0.5267
691,Fulfillment Error,3.5,"I've only received one product, I've received both, I haven't received the shoemaker.",0.0
693,Logistics Issue,3.0,They gave a very long time for the delivery of the product and were unable to deliver within the deadline,0.0
694,Not a Defect,0.0,Excellent product I point to anyone.,0.5719
699,Critical Failure,5.0,I didn't get the product. And now?,0.0
705,Logistics Issue,3.21,It's come in crushed...,-0.4215
712,Fulfillment Error,3.81,"I bought rubber rug for tr4 mitsubishi the store delivered a horrible pvc rug in the title your tr4 rubber rug, they tricked me and now what to do being that it has expense for return, for",-0.6249
727,Quality Issue,2.79,PRODUCT WITH DEFECT REQUEST FOR RETURN. PRODUCT WITH DEFECT,-0.5859
731,Quality Issue,2.86,"I found the quality of the product very bad, no hole or screw came to fix on the wall.",-0.7163
746,Logistics Issue,2.63,Good night the Lannister stores are great I love the site today I do very little purchase by abusive freight unfortunately does not make up as before but we need to buy thank you,0.7337
761,Logistics Issue,2.96,"My product hasn't been delivered yet, I've made my appeal and now I don't have a single delivery plan. I'm super-unsatisfied and I want my money back.",0.0772
762,Fulfillment Error,3.5,The curtain is not the model I asked for.,0.0
763,Quality Issue,2.72,The print is coming out with the weak paint...,-0.4404
766,Fulfillment Error,3.5,I bought pink with white arms and they deliver all black?,0.0
767,Not a Defect,0.0,I need a forecast.,0.0
772,Not a Defect,0.0,"Good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good",0.9998
786,Logistics Issue,2.78,"Good people, the Lannister's attendant was very attentive but the shop that should have given me the product canceled to buy ??? What happened ???",0.4423
794,Fulfillment Error,3.82,"I bought a chair, I got it on time, but the chair was broken at the bottom.",-0.631
811,Fulfillment Error,3.39,"I got another doll, I want to return and I can't get in touch! I would never buy again from this store!",0.2225
812,Not a Defect,0.0,"Great buy, but the freight doesn't make up for the budget. It's supposed to have free freight.",0.7906
819,Service Defect,2.0,Order delivery I think there should be a way to communicate with the company if order happens not to be delivered,0.0
834,Service Defect,1.9,"Good night, I didn't like it because we never got to talk to you on the phone.",0.1999
838,Not a Defect,0.0,"The product did not meet my expectations, because the pots are difficult to open and close and the tray where the pots go came with rust points",-0.3612
850,Fulfillment Error,3.5,"I didn't get the game in the tobacco color, just the red one.",0.0
852,Logistics Issue,3.17,"It wasn't delivered to my house, so I don't like it, I don't have time for this going to the post office.",-0.3343
860,Major Product Issue,4.0,The product has been spoiled,0.0
863,Logistics Issue,3.09,"My merchandise was not delivered, I already paid the first invoice I want to cancel the purchase because I paid the freight and I did not receive the merchandise.",-0.1779
864,Not a Defect,0.0,PRODUCT POSSIOUS PRODUCT I HAVE FILLED NOT FOUND IN ACCORDANCE WITH MY NEED FOR USE. HAPPILY LAST BUY MY TOTALLY UNSatisFIED.,0.1548
867,Fulfillment Error,3.5,"I only got one box with 100 units, and I ordered two boxes.",0.0
870,Fulfillment Error,3.5,I bought two pendants just got one. I need to know what it was that was?,0.0
879,Major Product Issue,4.21,Product came with crushed ones and it's also not working properly.,-0.4215
886,Logistics Issue,3.0,I've been waiting for more than 20 days and I haven't gotten my product yet and I can't get any information.,0.0
889,Logistics Issue,3.0,I'm waiting for the company's position to return the product.,0.0
890,Logistics Issue,3.0,My product hasn't arrived,0.0
893,Fulfillment Error,3.5,supplier did not send the correct product. I requested the chocolate flavor and was sent another flavor.,0.0
916,Logistics Issue,3.0,The product has not yet arrived,0.0
925,Logistics Issue,3.0,Late delivery I haven't received the product yet...,0.0
930,Fulfillment Error,3.49,"In the advertisement it is written electric Mixer and came a laptop that I have three that broke so I wanted an electric, you should specify better the products",0.0258
935,Fulfillment Error,3.68,I bought 2 products I bought 2 products only sent 1 and n me gave no justification !,-0.3595
946,Logistics Issue,3.3,"I had a problem with the delivery, because there was no one at home to receive the goods at the time they went by.",-0.5994
953,Not a Defect,0.0,Very beautiful the Clock!,0.6689
970,Not a Defect,0.0,Good very good.,0.7264
981,Fulfillment Error,3.29,"I was hoping more, the towels could be thicker.",0.4215
993,Fulfillment Error,3.5,"The product doesn't match what I bought, the film is much smaller than the cell phone screen and doesn't cover the whole screen.",0.0
998,Logistics Issue,3.0,The product was sent to destination city on 31/03 and so far I have not received it.,0.0
1003,Logistics Issue,3.0,Product hasn't been delivered!,0.0
1004,Not a Defect,0.0,I just didn't get my product and I don't have a decent positioning of what's gonna happen.,0.0
1005,Fulfillment Error,3.5,"I didn't get the deflector shower arm, only the 20x20 shower with a 30cm arm.",0.0
1011,Quality Issue,2.5,"The product may be malfunctioning, or my phone isn't able to do the reading.",0.0
1018,Logistics Issue,3.21,They didn't deliver the request and they had the dismay of duErem that I canceled it.,-0.4215
1022,Not a Defect,0.0,PRODUCT NOT CONFORMED WAS ON THE WEBSITE . I SHOWED CALENDAR WEBSITE BUT WHEN I RECEIVED IT WITHOUT AND THIS DIFFICULT TO DO THE TRACK AND OUTSIDE OF THE PRODUCT,-0.7341
1030,Fulfillment Error,3.5,"I bought two products, and one of them didn't arrive, an audio adapter cable.",0.0
1038,Fulfillment Error,3.66,"Supplier targaryen sent me a completely different massager than I bought, priced lower and full of negative reviews. No one errs sending a superior ne, curious..",-0.3182
1044,Logistics Issue,3.38,"Too bad, one product didn't come and the other one went wrong.",-0.765
1045,Quality Issue,2.75,"It entered on the first day of April Protocol for Return, product of low quality of problem on the first day of use. Lannister VIROU A FREE MARKET....6 REQUEST 6 PROBLEMS",-0.4939
1056,Logistics Issue,3.0,The merchandise hasn't been delivered yet.,0.0
1062,Logistics Issue,3.0,"I received the order normally and within the deadline, however, I received from first an estimated delivery date and that later, the date was increased. I did not like this attitude. It took 2 weeks.",-0.0026
1067,Logistics Issue,2.63,I asked them to cancel before the nf was issued pq I had won an equal gift... did not cancel... sent msm... I asked when the nf had not yet been issued,0.7461
1078,Fulfillment Error,3.46,"I did not receive the full product, I bought quantity 02 and I only received 01. and it is on the delivery note has quantity 02 and with volume 01. I want to receive the other without any cost.",0.0772
1083,Fulfillment Error,3.06,"The bags are beautiful on the outside, the color is very close to the photo, but on the inside it doesn't have the description lining and the finish left a little to be desired, the most delivery was super fast",0.8873
1084,Logistics Issue,2.9,"in urgent need of this commodity, the maximum deadline was until day 3 and so far has not arrived",0.2023
1092,Quality Issue,2.67,The product is of very low quality,-0.3384
1095,Logistics Issue,3.0,"It took a while, but it gave it away!",0.0
1097,Fulfillment Error,3.34,"The purchase made were two bears that pray, a rose and a blue, I received only one of the products I acquired, the rose, I am waiting to return from the seller, about what happened and if I will receive the other",0.3182
1099,Quality Issue,2.85,"Product with defect presents risk because it is not reliable, I have already e-mailed and made calls and no return.",-0.6908
1100,Not a Defect,0.0,"In general, it is satisfactory because it is laser engraving. But precisely because it is laser, it leaves to be desired as to the centralization of the pendant with the mark, as well as the quality of the recording.",0.7227
1114,Fulfillment Error,3.5,"The product came without a tax note, I had to apply by phone.",0.0
1116,Quality Issue,2.67,The product's not good.,-0.3412
1131,Not a Defect,0.0,"product description was wrong product description was wrong and I couldn't use the product, I ordered the cancellation 15 days ago and still didn't get an answer",-0.7351
1142,Logistics Issue,3.17,It did not give in time. Without punctuality not of satisfaction to the customer.,-0.3412
1162,Fulfillment Error,3.23,My mosquito net came with two holes in the top and asked a mosquito net King didn't come Kiung and yes WHO,0.5423
1165,Not a Defect,0.0,Very good.,0.4927
1168,Quality Issue,2.64,Low quality product.,-0.2732
1170,Fulfillment Error,3.76,I was sent the wrong product!,-0.5255
1174,Logistics Issue,3.0,Partial delivery. I made the purchase and payment of two units and received only one unit.,0.0
1181,Fulfillment Error,3.92,The picture was delivered by the post office and arrived with a wood behind broken and the screen of the damaged picture sunk... that is... the product was damaged,-0.836
1183,Quality Issue,2.67,"Imported product, mine came with defect",-0.34
1196,Logistics Issue,3.0,I haven't gotten it yet.,0.0
1198,Fulfillment Error,3.87,the product is reasonable ! shipping of the product packaging own ! arrived td crushed almost q damaged !,-0.7429
1204,Logistics Issue,2.82,I'd just like to know the right day of delivery.,0.3612
1209,Fulfillment Error,3.28,Good morning... I bought a metallic red drinker... and I got a pink drinker... obs... my dog is a male...,0.4404
1211,Logistics Issue,3.0,It wasn't delivered the first time this happened.,0.0
1213,Not a Defect,0.0,"Product with failure I bought 2 units of the product, it was damaged since the packaging is very weak, and it came with two holes at the bottom of the pot, due to the pressure that dog placed on it.",-0.8908
1225,Critical Failure,5.0,"I bought it in the Lannisters because it was a trusted store, but when the product arrived I discovered that what was sold by the Targus brand, was actually a counterfeit product, I no longer trust",-0.6489
1228,Not a Defect,0.0,Request canceled Request was canceled and yet the store sent the product. I returned the product and want the shopping spout on my credit card.,0.4404
1229,Fulfillment Error,3.5,I bought a set of panels with 8 panels and a red press panel and oval-type panels. I received a set with 6 panels and a set of black speculae.,0.0
1232,Quality Issue,2.64,I didn't like the quality of filling the cushions,-0.2755
1238,Not a Defect,0.0,I want to know about the other products were 3 items,0.0772
1244,Logistics Issue,3.14,"I can't give an opinion on the product because I didn't get, about the store I don't recommend, because it delays deliveries.",-0.2755
1249,Critical Failure,5.0,I did not receive the product,0.0
1255,Logistics Issue,3.08,"Good watch delivery bad quality product, delivery very late",-0.1531
1263,Fulfillment Error,3.5,product delivered completely different from purchased,0.0
1271,Logistics Issue,3.0,I'm still waiting.,0.0
1279,Logistics Issue,3.11,Depends on if I can assess if they solve my problem after the purchase was 4 the post offices will only deliver one package containing 2 pens,-0.2263
1286,Fulfillment Error,3.61,Good afternoon! I had trouble with my request yes! The wrong Musketeer came. I asked for a Queen-sized one to drag to the floor and with the circle on top very large.,-0.2225
1290,Fulfillment Error,3.5,"I bought two watches, but only one was delivered.",0.0
1292,Logistics Issue,3.19,"The delivery was anticipated, another one of the pressure cookers came with broken support.",-0.3818
1299,Logistics Issue,3.0,"SUPPLEMENTARY DELIVERY, INCLUDED ON 03/26/2018 AND SOON NOW I DIDN'T REVENUE THE PRODUCTS",0.0
1315,Fulfillment Error,3.74,The enteque product came wrong,-0.4767
1317,Not a Defect,0.0,"I DIDN'T GET THE PRODUCT, THE PRODUCT CONSIDERED AS SENDED TO THE BLACK RIBEIRO CORREUM. THE CORREUM DIDN'T GET THE PRODUCT.",0.0
1321,Fulfillment Error,3.5,"The product came out of the specification. The sold cap had the Citroën symbol, but the cap came without this symbol.",0.0
1327,Quality Issue,2.35,"So I got it, but I didn't like it, and I didn't think it would be better.",0.2926
1338,Fulfillment Error,3.88,"Wrong product I asked for two wallets. One came with a defect and another came wrong, ñ is the one I asked.... I asked for reimbursement and I believe that will go well.",-0.7579
1340,Quality Issue,2.17,"Great engine, just don't come the racks together!",0.6588
1377,Fulfillment Error,3.4,I only got 1 metal detector and the purchase was 2 units. How can we solve this? I'm waiting for guidance.,0.2023
1380,Fulfillment Error,3.28,Clarification Good night on purchase says wireless 150mbs Multilaser plus 3g would not have come the 3g modem that connects to the USB on it.,0.4404
1394,Fulfillment Error,3.5,I bought two pairs of rings and arrived only two male units in my house! I am waiting for company response to send the other two female units that do not cheopu!,0.0
1395,Logistics Issue,2.89,"I think they should change the delivery mode, because the Post Offices leave much to be desired. They came once to deliver my product and it was a Sunday afternoon and sent the product back to the sender.",0.2263
1398,Logistics Issue,3.0,THAT SHOULD TELL US MORE QUICKLY WHERE THIS PRODUCT IS,0.0
1402,Fulfillment Error,3.3,I received from this store only two pendants. I paid for the advance ticket and one product did not come: It is a Middle Brushed Ball Aluminium Pendant in the value of R $ 90 . I want $ back.,0.4019
1406,Logistics Issue,3.08,You are leaving to wish I bought products with vcs and vcs delay delivery and still cancel the order without authorization,-0.1531
1412,Logistics Issue,3.0,I didn't get another order from this store. I'm waiting for them to send me two two-pound proteins...,0.0
1418,Not a Defect,0.0,I made a buy of two but the two have the same code and only one came bought a mattress that arrived correctly but did not come the skirt of the bed box,0.0
1425,Not a Defect,0.0,fast in delivery.,0.0
1429,Logistics Issue,3.0,But it's taking a long time this time.,0.0
1435,Logistics Issue,3.0,Out of stock. Product not yet delivered,0.0
1443,Fulfillment Error,3.74,I did not receive the two products I received only 1 perfume (perfume H2O). The perfume Otothemo I did not receive yet. I am worried because in the order I received two perfumes!!!,-0.4724
1452,Fulfillment Error,3.41,"Defect The product arrived well before the deadline, but with defect, the place of making it fit broke. Very cute but fragile. I tried to make the exchange through the site and I couldn't.",0.1875
1454,Logistics Issue,3.0,still not received and the last information about p product and the day 08/12/2017.,0.0
1455,Major Product Issue,4.37,The glass film came in defective and I'm not able to solve the problem.,-0.7345
1459,Not a Defect,0.0,I love it.,0.6369
1466,Not a Defect,0.0,"Good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good",0.9998
1476,Logistics Issue,3.0,"My merchandise was to take about 20 days to arrive, it took almost two months!!!!!",0.0
1479,Logistics Issue,2.76,"The product is good, but about 2 months to receive !!!!",0.4798
1480,Fulfillment Error,3.5,Only one cape came I bought three so I paid for more than 100 reais for one cape,0.0
1485,Fulfillment Error,3.79,"It's not original, unfortunately the post-sales of stark is extremely bad, because I've already contacted and so far nothing, so I managed to call the partner supplier who has already returned the money.",-0.5746
1492,Logistics Issue,3.11,Delayed delivery date I have contacted the Lannister by phone and they tell me that you will send the direct link to the partner so I know details of the account delivery and this n link came.,-0.2263
1495,Fulfillment Error,3.28,Despite the size the brush is light and easy to handle,0.4404
1504,Critical Failure,5.0,I didn't get the product I didn't get a proof from the seller. I got in touch but so far I haven't got an answer.,0.0
1518,Fulfillment Error,3.5,I got the pot from the Cafeteria but it's not the model I bought. I bought the pot from the Electrolux CMM20 coffee maker and the one I got isn't that model from the Cafeteria.,0.0
1524,Logistics Issue,3.0,I haven't gotten my couch cover yet. I'm waiting.,0.0
1538,Logistics Issue,3.0,"I haven't received the product yet... several days I made the purchase.Delayed delivery by the purchases I make online, I'm still waiting for delivery",0.0
1542,Not a Defect,0.0,Good finish I haven't installed yet,0.4404
1551,Logistics Issue,3.37,Unfortunately it compensates to pay a little more and buy in physical store in your city all stores including stark are with terrible delivery time of the products!,-0.7345
1560,Fulfillment Error,3.66,"I just liked one thing. The clock is just stopping with a weak battery. It's new to that watch, and it's already stopping.",-0.3182
1568,Not a Defect,0.0,Very good.,0.4927
1582,Major Product Issue,4.0,I've already requested a return of the product.,0.0
1583,Critical Failure,5.0,I didn't get the product I bought and paid for.,0.0
1592,Quality Issue,2.8,"The mp3 player is very nice and small. However, its sound is very bad, with noises and noises. I switched the earphone to the apple, but it hasn't changed anything. The problem is in the quality of the product itself.",-0.5994
1604,Quality Issue,2.61,"Exchange / return the online shopping experience and delivery were good, but the product did not meet expectations and I am having difficulties with the exchange / return.",-0.2144
1614,Logistics Issue,3.0,I haven't got it yet.,0.0
1615,Fulfillment Error,3.6,I got the wrong product. I bought original and received parallel products. Recycled. Picareta,-0.2023
1619,Fulfillment Error,3.54,"Product delivered diverging from the purchased and did not respond to the request made on the site. It is present and I could not deliver, I await exchange of the same.",-0.0762
1623,Major Product Issue,4.2,The product is in trouble (default).,-0.4019
1624,Fulfillment Error,3.5,"I bought two baby kiss dolls Sid nil day 07/12/17 and they delivered only 1 doll, didn't come along tax note, crushed box and also I can't contact the Lannister the phone only occupied",0.0
1649,Logistics Issue,3.31,"The product was delivered within the deadline, until a week before, but there was an unexpected in my delivery, I tried to contact several times without any success, I got more week without knowing anything.",-0.612
1663,Quality Issue,2.81,Targaryen The cover is very good for the cell phone but and included film is of very bad quality.,-0.624
1667,Logistics Issue,3.0,Merchandise not delivered I can't evaluate what I didn't get,0.0
1672,Fulfillment Error,3.82,Broken and missing piece,-0.6486
1673,Fulfillment Error,3.72,I received the product from another model. Disattention from the distributor :(,-0.4404
1680,Not a Defect,0.0,I'll change the evaluation if everything works out.,0.0
1683,Fulfillment Error,3.34,The watch I bought was a replica of the original.,0.3182
1704,Fulfillment Error,3.74,Wrong product,-0.4767
1717,Not a Defect,0.0,Product came different Product came different than announced. I called and only waiting for the code for the return of the product and refund of the paid value.,0.34
1718,Logistics Issue,2.53,"Congratulations delivery before the scheduled date, a good and cheap product sound product very good running with it does not bother me not falling or unwinding in my ear look that running 8 km recommend.",0.9322
1726,Not a Defect,0.0,"Lack of respect with the consumer; product badly packed, glass without tear leaking; I did not receive permission to return, even having complained on the day of delivery; the worst, I will have to take to the post office",-0.8442
1752,Fulfillment Error,3.03,"I thought the deflector was a big plate, but there are 3 small pieces, which fit into each other.I honestly didn't like it because in the market there is a one-piece option, more beautiful and with better design.",0.9453
1754,Quality Issue,2.66,I was not satisfied with the product material,-0.3252
1756,Not a Defect,0.0,RECOMMENDATION,0.0
1757,Logistics Issue,3.0,More agility in delivery,0.0
1760,Logistics Issue,2.78,Until now I have not reviewed the product. I hope that at least the score has been made according to the promotion.,0.4404
1768,Fulfillment Error,3.5,They sold me a product they didn't have to deliver.,0.0
1771,Quality Issue,2.78,"The print is very beautiful, but the filling is very bad.",-0.5563
1773,Quality Issue,2.5,The button to open the car is not working.,0.0
1775,Not a Defect,0.0,Good product,0.4404
1782,Fulfillment Error,3.1,I have only received one of the products... so far I have not received the Set Decorative Frames Faith Family Love with A4 Glass ... on hold,0.7906
1790,Not a Defect,0.0,Good.,0.4404
1802,Fulfillment Error,3.41,Good afternoon my product came missing parts and the time I buy from the Lannister stores always came right and this time not,0.1779
1805,Logistics Issue,3.0,I didn't get it. It's taking a while.,0.0
1809,Not a Defect,0.0,"Unfortunately the product came with defect, the media is corrupted....I lost the exchange because I did not use the packaging without first testing, which makes me unable to exchange...",-0.7269
1826,Fulfillment Error,3.43,You pay 2 and you get 1 ROUBO! In the tax note are 2 units but in the package comes only one. Do you want to charge without delivery?,0.1386
1832,Not a Defect,0.0,HE DIDN'T SEND MY REQUEST,0.0
1847,Not a Defect,0.0,"Good product material, but it doesn't fit perfectly.",-0.7405
1859,Fulfillment Error,3.76,"From this purchase I did not like. A women's watch came in place of the men's watch that I asked for, I made the cancellation and return of what I received and also about the stumpage and I received no answer.",-0.5122
1874,Fulfillment Error,3.72,"Capa came in the wrong color I bought the black cover, but I received on 23/07/2018 in white color, I would like to exchange, since the product came in the wrong color.",-0.4497
1875,Logistics Issue,3.31,"I didn't get the product on the scheduled date, I sent several messages for information, ja q on the tracking was stopped 3 weeks ago, I just didn't like it and I don't recommend delivery of targaryen",-0.6273
1885,Fulfillment Error,3.35,"I bought two units of wallpaper, but only one roll came in, how to solve this situation.",0.296
1905,Logistics Issue,3.0,"On the Lannister website the delivery date would be 04/01, but in the tracking code the product was posted in the mail on 04/01, that is, the product is still in transit today 06/01.",0.0
1925,Not a Defect,0.0,I want my product.,0.0772
1927,Major Product Issue,4.12,The product has arrived torn,-0.25
1928,Not a Defect,0.0,"The product is made of a good quality material, but it is very difficult to put the blade in a precise way on the razor and can even get hurt when putting or removing the blade!",-0.824
1934,Logistics Issue,3.0,"They delivered the products, but they didn't meet the delivery deadline.",0.0
1937,Fulfillment Error,3.5,"My purchase came in half, I bought a cell phone cap and a glass film only came the cap the film didn't come",0.0
1939,Not a Defect,0.0,Reason that one of the headphones n can tune FM radio of the remaining black n color looks good.,0.4404
1941,Logistics Issue,3.0,"It takes time, product not delivered!",0.0
1948,Not a Defect,0.0,Good product.,0.4404
1959,Logistics Issue,3.0,"Two days after the deadline, a month after the purchase and nothing of the product arrive!! Expensive and inefficient freight!!",0.0
1966,Not a Defect,0.0,"I received the product with cx open, no tear, no tax note, no purchase order and with sender different from the ad. I want to return the money.",-0.2987
1972,Fulfillment Error,3.5,"A quantity of the product was delivered, and I ordered two quantities.",0.0
2002,Fulfillment Error,3.79,DIFFERENT PRODUCT I received a brush from another brand. I can't solve the problem. Bad service from Lannister stores and partner!!!,-0.5733
2011,Fulfillment Error,3.3,"I recommend it came very quickly and it looks good, I'll just find out with the use, the cover for the 3-seater sofa came a little smaller the width came 1.46, but the 2-seater came in the right size.",0.4019
2025,Logistics Issue,2.96,"The order was not made on 03/7, as stated in this form. Until the product is delivered, I have no way to recommend the store. We must wait.",0.0772
2026,Logistics Issue,3.0,People haven't received my order yet.,0.0
2046,Logistics Issue,2.6,"It could have come better packed, the watch came with some risks but it's a great product",0.7935
2073,Quality Issue,2.94,I recommend loa because it has met the right deadline but the product is very bad... poor quality.,-0.8752
